Insight 3: Correlation between features:
                            gender       age  hypertension  heart_disease  smoking_history       bmi  HbA1c_level  blood_glucose_level  diabetes  age_bins  blood_glucose_level_bins
gender                    1.000000  0.013461      0.011002       0.086937        -0.064248 -0.031747     0.033473             0.034764  0.064875  0.015081                  0.032099
age                       0.013461  1.000000      0.254273       0.257566         0.226204  0.268857     0.289846             0.269222  0.490501  0.974444                  0.275872
hypertension              0.011002  0.254273      1.000000       0.099734         0.109367  0.149684     0.157897             0.131006  0.251548  0.249892                  0.133795
heart_disease             0.086937  0.257566      0.099734       1.000000         0.023004  0.051563     0.121486             0.113168  0.205810  0.250577                  0.118818
smoking_history          -0.064248  0.226204      0.109367       0.023004         1.000000  0.170923     0.089626             0.076147  0.157370  0.221200                  0.078136
bmi                      -0.031747  0.268857      0.149684       0.051563         0.170923  1.000000     0.190330             0.186968  0.339530  0.273452                  0.191902
HbA1c_level               0.033473  0.289846      0.157897       0.121486         0.089626  0.190330     1.000000             0.314753  0.601004  0.288333                  0.325672
blood_glucose_level       0.034764  0.269222      0.131006       0.113168         0.076147  0.186968     0.314753             1.000000  0.538145  0.266617                  0.974259
diabetes                  0.064875  0.490501      0.251548       0.205810         0.157370  0.339530     0.601004             0.538145  1.000000  0.485749                  0.553459
age_bins                  0.015081  0.974444      0.249892       0.250577         0.221200  0.273452     0.288333             0.266617  0.485749  1.000000                  0.274034
blood_glucose_level_bins  0.032099  0.275872      0.133795       0.118818         0.078136  0.191902     0.325672             0.974259  0.553459  0.274034                  1.000000
